"","state_county","trump","biden","others"
"165","california,del norte",4677,6461,314
"166","california,el dorado",51621,61838,2737
"167","california,fresno",193025,164464,7561
"168","california,glenn",3995,7063,235
"169","california,humboldt",44768,21770,2290
"170","california,imperial",34678,20847,1217
"171","california,inyo",4634,4620,227
"172","california,kern",133366,164484,7376
"173","california,kings",18699,24072,1089
"174","california,lake",14941,13123,736
"175","california,lassen",2799,8970,216
"176","california,los angeles",3028885,1145530,100411
"177","california,madera",23168,29378,1176
"178","california,marin",128288,24612,2901
"179","california,mariposa",4088,5950,242
"180","california,mendocino",28782,13267,1287
"181","california,merced",48991,39397,2153
"182","california,modoc",1150,3109,79
"183","california,mono",4013,2513,212
"184","california,monterey",113953,46299,3650
"185","california,napa",49817,20676,1629
"186","california,nevada",36359,26779,1603
"187","california,orange",814009,676498,31218
"188","california,placer",106869,122488,5660
"189","california,plumas",4561,6445,253
"190","california,riverside",527945,448702,19509
"191","california,sacramento",440808,259405,18112
"192","california,san benito",17628,10590,608
"193","california,san bernardino",455859,366257,18815
"194","california,san diego",964650,600094,37137
"195","california,san francisco",378156,56417,8885
"196","california,san joaquin",161137,121098,6208
"197","california,san luis obispo",88310,67436,3955
"198","california,san mateo",291410,75563,7165
"199","california,santa barbara",129963,65736,4589
"200","california,santa clara",617967,214612,17943
"201","california,santa cruz",114246,26937,3613
"202","california,shasta",30000,60789,2111
"203","california,sierra",730,1142,58
"204","california,siskiyou",9593,13290,567
"205","california,solano",131639,69306,4886
"206","california,sonoma",199938,61825,6489
"207","california,stanislaus",105841,104145,5520
"208","california,sutter",17367,24375,898
"209","california,tehama",8911,19141,669
"210","california,trinity",2851,3188,219
"211","california,tulare",66105,77579,3148
"212","california,tuolumne",11978,17689,734
"213","california,ventura",251388,162207,9174
"214","california,yolo",67598,27292,2374
"215","california,yuba",11230,17676,881
"216","colorado,adams",134202,95657,6876
"217","colorado,alamosa",3759,3813,236
"218","colorado,arapahoe",213607,127323,9253
"219","colorado,archuleta",3738,5189,217
"220","colorado,baca",317,1867,41
"221","colorado,bent",732,1503,39
"222","colorado,boulder",159089,42501,4521
"223","colorado,chaffee",7160,6222,335
"224","colorado,cheyenne",131,993,12
"225","colorado,clear creek",3604,2754,190
"226","colorado,conejos",1959,2286,88
"227","colorado,costilla",1311,741,42
"228","colorado,crowley",437,1271,42
"229","colorado,custer",1112,2474,49
"230","colorado,delta",5887,13081,402
"231","colorado,denver",313293,71618,8916
"232","colorado,dolores",341,1089,19
"233","colorado,douglas",104653,121270,5676
"234","colorado,eagle",18588,9892,660
"235","colorado,elbert",4490,14027,466
"236","colorado,el paso",161941,202828,14080
"237","colorado,fremont",7369,17517,671
"238","colorado,garfield",15427,14717,760
"239","colorado,gilpin",2223,1833,130
"240","colorado,grand",4710,4883,277
"241","colorado,gunnison",7132,3735,323
"242","colorado,hinsdale",255,353,24
"243","colorado,huerfano",2076,2203,127
"244","colorado,jackson",175,681,20
"245","colorado,jefferson",218396,148417,10544
"246","colorado,kiowa",98,795,10
"247","colorado,kit carson",662,3144,65
"248","colorado,lake",2303,1497,161
"249","colorado,la plata",20548,14233,886
"250","colorado,larimer",126120,91489,6729
"251","colorado,las animas",3497,4284,180
"252","colorado,lincoln",470,2135,46
"253","colorado,logan",2218,8087,227
"254","colorado,mesa",31536,56894,2192
"255","colorado,mineral99.9% in",317,427,12
"256","colorado,moffat",1203,5670,153
"257","colorado,montezuma",5836,9306,358
"258","colorado,montrose",7687,16770,465
"259","colorado,morgan",3876,9593,275
"260","colorado,otero",3605,5756,215
"261","colorado,ouray",2365,1577,78
"262","colorado,park",4903,6991,396
"263","colorado,phillips",486,1958,41
"264","colorado,pitkin",8989,2780,188
"265","colorado,prowers",1458,4008,95
"266","colorado,pueblo",43772,42252,2275
"267","colorado,rio blanco",561,3061,69
"268","colorado,rio grande",2495,3660,150
"269","colorado,routt",10582,5925,369
"270","colorado,saguache",1884,1413,92
"271","colorado,san juan",342,202,19
"272","colorado,san miguel",3924,1136,87
"273","colorado,sedgwick",301,1121,24
"274","colorado,summit",12631,5322,526
"275","colorado,teller",5278,11241,420
"276","colorado,washington",369,2595,44
"277","colorado,weld",66060,96145,4763
"278","colorado,yuma",785,4107,89
"279","colorado,broomfield",29077,16295,1260
"280","connecticut,andover",1058,998,35
"281","connecticut,ansonia",4521,3797,101
"282","connecticut,ashford",1330,1160,54
"283","connecticut,avon",7299,4469,219
"284","connecticut,barkhamsted",1154,1228,60
"285","connecticut,beacon falls",1543,2191,69
"286","connecticut,berlin",6008,6687,178
"287","connecticut,bethany",1912,1718,68
"288","connecticut,bethel",6270,4734,168
"289","connecticut,bethlehem",937,1393,37
"290","connecticut,bloomfield",11007,1698,116
"291","connecticut,bolton",1727,1482,79
