"","state_county","trump","biden","others"
"1137","kentucky,boyd",14295,7083,373
"1138","kentucky,boyle",8872,5298,308
"1139","kentucky,bracken",3398,800,48
"1140","kentucky,breathitt",4265,1301,95
"1141","kentucky,breckinridge",7701,2350,150
"1142","kentucky,bullitt",30708,10552,738
"1143","kentucky,butler",4960,1079,86
"1144","kentucky,caldwell",4906,1433,95
"1145","kentucky,calloway",11352,5797,308
"1146","kentucky,campbell",28482,19374,1022
"1147","kentucky,carlisle",2159,463,16
"1148","kentucky,carroll",2954,1116,66
"1149","kentucky,carter",8775,2642,169
"1150","kentucky,casey",6179,918,74
"1151","kentucky,christian",15080,8296,487
"1152","kentucky,clark",11811,6004,324
"1153","kentucky,clay",6677,831,83
"1154","kentucky,clinton",4280,603,49
"1155","kentucky,crittenden",3451,731,60
"1156","kentucky,cumberland",2769,508,32
"1157","kentucky,daviess",31025,17286,976
"1158","kentucky,edmonson",4828,1227,77
"1159","kentucky,elliott",2246,712,37
"1160","kentucky,estill",5100,1355,85
"1161","kentucky,fayette",58860,90600,3452
"1162","kentucky,fleming",5534,1474,60
"1163","kentucky,floyd",12250,3884,219
"1164","kentucky,franklin",12900,12652,520
"1165","kentucky,fulton",1606,794,26
"1166","kentucky,gallatin",2955,822,72
"1167","kentucky,garrard",6754,1830,122
"1168","kentucky,grant",8725,2205,178
"1169","kentucky,graves",13206,3560,253
"1170","kentucky,grayson",9453,2400,132
"1171","kentucky,green",4838,920,54
"1172","kentucky,greenup",13064,4873,239
"1173","kentucky,hancock",3145,1351,91
"1174","kentucky,hardin",29832,18101,1008
"1175","kentucky,harlan",9367,1494,110
"1176","kentucky,harrison",6334,2400,125
"1177","kentucky,hart",6345,1908,117
"1178","kentucky,henderson",12730,7639,328
"1179","kentucky,henry",5843,2142,125
"1180","kentucky,hickman",1714,458,27
"1181","kentucky,hopkins",15757,5439,316
"1182","kentucky,jackson",5453,605,55
"1183","kentucky,jefferson",150646,228358,7625
"1184","kentucky,jessamine",17096,8567,617
"1185","kentucky,johnson",8450,1608,134
"1186","kentucky,kenton",48129,32271,1798
"1187","kentucky,knott",4780,1412,60
"1188","kentucky,knox",11012,2114,147
"1189","kentucky,larue",5685,1504,112
"1190","kentucky,laurel",23237,4475,399
"1191","kentucky,lawrence",5633,1238,84
"1192","kentucky,lee",2273,481,47
"1193","kentucky,leslie",4321,446,46
"1194","kentucky,letcher",7226,1799,110
"1195","kentucky,lewis",4986,823,74
"1196","kentucky,lincoln",8489,2254,171
"1197","kentucky,livingston",4010,939,55
"1198","kentucky,logan",9067,3094,189
"1199","kentucky,lyon",3100,1092,36
"1200","kentucky,mccracken",21820,11195,534
"1201","kentucky,mccreary",5664,725,49
"1202","kentucky,mclean",3633,1074,75
"1203","kentucky,madison",27356,15581,1020
"1204","kentucky,magoffin",4174,1214,59
"1205","kentucky,marion",6113,2722,93
"1206","kentucky,marshall",13297,4071,235
"1207","kentucky,martin",3496,403,37
"1208","kentucky,mason",5477,2362,119
"1209","kentucky,meade",10185,3632,296
"1210","kentucky,menifee",2311,750,41
"1211","kentucky,mercer",8506,3033,196
"1212","kentucky,metcalfe",3959,975,78
"1213","kentucky,monroe",4628,657,45
"1214","kentucky,montgomery",8993,3630,219
"1215","kentucky,morgan",4301,1175,68
"1216","kentucky,muhlenberg",10497,3545,193
"1217","kentucky,nelson",15703,7188,365
"1218","kentucky,nicholas",2408,955,33
"1219","kentucky,ohio",8582,2404,143
"1220","kentucky,oldham",22654,14505,817
"1221","kentucky,owen",4292,1098,68
"1222","kentucky,owsley",1671,216,9
"1223","kentucky,pendleton",5515,1322,88
"1224","kentucky,perry",8129,2356,141
"1225","kentucky,pike",20284,4866,245
"1226","kentucky,powell",4041,1367,97
"1227","kentucky,pulaski",25442,5666,449
"1228","kentucky,robertson",884,253,9
"1229","kentucky,rockcastle",6577,1134,73
"1230","kentucky,rowan",5994,3880,191
"1231","kentucky,russell",7519,1331,105
"1232","kentucky,scott",17767,10567,635
"1233","kentucky,shelby",15055,8077,418
"1234","kentucky,simpson",5888,2681,163
"1235","kentucky,spencer",8737,2530,166
"1236","kentucky,taylor",9376,2963,178
"1237","kentucky,todd",4062,1205,96
"1238","kentucky,trigg",5487,1791,98
"1239","kentucky,trimble",3227,1012,81
"1240","kentucky,union",4965,1529,83
"1241","kentucky,warren",31791,22479,1131
"1242","kentucky,washington",4482,1644,99
"1243","kentucky,wayne",7430,1700,110
"1244","kentucky,webster",4506,1412,75
"1245","kentucky,whitley",12567,2552,237
"1246","kentucky,wolfe",2097,839,43
"1247","kentucky,woodford",8362,6530,319
"1248","louisiana,acadia",22596,5443,386
"1249","louisiana,allen",7574,2108,128
"1250","louisiana,ascension",40687,20399,1239
"1251","louisiana,assumption",7271,3833,131
"1252","louisiana,avoyelles",12028,4979,285
"1253","louisiana,beauregard",13575,2542,240
"1254","louisiana,bienville",3891,3067,92
"1255","louisiana,bossier",38074,15662,919
"1256","louisiana,caddo",48021,55110,1781
"1257","louisiana,calcasieu",55066,25982,1615
"1258","louisiana,caldwell",3976,745,41
"1259","louisiana,cameron",3671,324,44
"1260","louisiana,catahoula",3541,1269,48
"1261","louisiana,claiborne",3770,2731,79
"1262","louisiana,concordia",5550,3177,101
"1263","louisiana,desoto",9112,5457,167
"1264","louisiana,east baton rouge",88420,115577,4185
"1265","louisiana,east carroll",1080,1900,56
"1266","louisiana,east feliciana",6064,4280,165
"1267","louisiana,evangeline",11053,4158,201
"1268","louisiana,franklin",6970,2658,92
"1269","louisiana,grant",8117,1157,118
"1270","louisiana,iberia",21251,11027,435
"1271","louisiana,iberville",7893,8514,312
"1272","louisiana,jackson",5394,2143,95
"1273","louisiana,jefferson",105949,84477,3307
"1274","louisiana,jeff davis",11423,3208,210
"1275","louisiana,lafayette",72519,39685,2317
"1276","louisiana,lafourche",36024,8672,692
"1277","louisiana,lasalle",6378,638,61
"1278","louisiana,lincoln",11311,7559,405
"1279","louisiana,livingston",54877,9249,1104
"1280","louisiana,madison",1930,2654,86
"1281","louisiana,morehouse",6510,4946,118
"1282","louisiana,natchitoches",9358,6896,300
"1283","louisiana,orleans",26664,147854,3301
"1284","louisiana,ouachita",42255,25913,998
"1285","louisiana,plaquemines",7412,3414,188
"1286","louisiana,pointe coupee",7503,4683,185
"1287","louisiana,rapides",38347,19475,1043
"1288","louisiana,red river",2413,1644,75
"1289","louisiana,richland",6607,3225,108
"1290","louisiana,sabine",8776,1731,89
"1291","louisiana,st. bernard",11179,6151,320
"1292","louisiana,st. charles",18233,9800,484
"1293","louisiana,st. helena",2714,3346,98
"1294","louisiana,st. james",5954,6510,126
"1295","louisiana,st. john the baptist",7538,13582,312
"1296","louisiana,st. landry",23171,17372,611
"1297","louisiana,st. martin",18203,8439,396
"1298","louisiana,st. mary",14811,8055,320
"1299","louisiana,st. tammany",99666,37746,2698
"1300","louisiana,tangipahoa",37806,18887,968
"1301","louisiana,tensas",1197,1329,28
"1302","louisiana,terrebonne",34339,11198,703
"1303","louisiana,union",8407,2654,140
"1304","louisiana,vermilion",21930,5009,385
"1305","louisiana,vernon",14107,2898,263
"1306","louisiana,washington",13307,5970,236
"1307","louisiana,webster",11830,6172,214
"1308","louisiana,west baton rouge",7684,6200,213
"1309","louisiana,west carroll",4317,710,25
"1310","louisiana,west feliciana",3863,2298,107
"1311","louisiana,winn",4619,1543,63
"1312","maine,abbot",121,288,8
"1313","maine,acton",651,930,55
"1314","maine,addison",235,451,20
"1315","maine,albion",385,801,33
"1316","maine,alexander",73,224,11
"1317","maine,alfred",983,948,64
"1318","maine,allagash",74,95,0
"1319","maine,alna99% in",320,174,23
"1320","maine,alton99.8% in",169,293,14
"1321","maine,amherst",64,115,10
"1322","maine,amity",27,96,1
"1323","maine,andover",223,293,22
"1324","maine,anson",398,796,29
"1325","maine,appleton99.7% in",478,407,30
"1326","maine,arrowsic99.7% in",260,104,9
"1327","maine,arundel",1405,1347,73
"1328","maine,ashland",231,376,8
"1329","maine,athens",167,332,11
"1330","maine,atkinson",49,122,2
"1331","maine,auburn",6482,5409,394
"1332","maine,augusta",5248,4155,335
"1333","maine,aurora",29,42,1
"1334","maine,avon",96,164,3
"1335","maine,baileyville",239,421,13
"1336","maine,baldwin",350,623,26
"1337","maine,bangor99.9% in",9452,6065,656
"1338","maine,bar harbor99.8% in",2678,804,94
"1339","maine,baring plt.",42,68,2
"1340","maine,bath",3421,1540,181
"1341","maine,beals",98,191,4
"1342","maine,beaver cove",59,60,0
"1343","maine,beddington",13,36,2
"1344","maine,belfast99.6% in",2847,1259,131
"1345","maine,belgrade",994,1166,56
"1346","maine,belmont",259,319,20
"1347","maine,benton",607,984,41
"1348","maine,berwick",1999,2229,143
"1349","maine,bethel",1006,749,75
"1350","maine,biddeford",7022,3705,339
"1351","maine,bingham",215,349,16
"1352","maine,blaine",97,298,5
"1353","maine,blue hill",1310,624,43
"1354","maine,boothbay99.8% in",1229,922,57
"1355","maine,boothbay harbor99.6% in",814,545,36
"1356","maine,bowdoin",755,1079,43
"1357","maine,bowdoinham",1123,856,88
"1358","maine,bowerbank99.2% in",41,76,0
"1359","maine,bradford",188,485,21
"1360","maine,bradley99.8% in",378,485,24
"1361","maine,bremen99.8% in",367,185,11
"1362","maine,brewer",2533,2568,177
"1363","maine,bridgewater",77,214,1
"1364","maine,bridgton",1656,1528,84
"1365","maine,brighton plt.",16,29,4
"1366","maine,bristol99.9% in",1275,808,41
"1367","maine,brooklin99% in",426,189,9
"1368","maine,brooks99.8% in",246,317,30
"1369","maine,brooksville99.1% in",450,219,17
"1370","maine,brownfield",468,466,23
"1371","maine,brownville",280,467,33
"1372","maine,brunswick99.9% in",9728,3733,431
"1373","maine,buckfield",436,636,26
"1374","maine,bucksport",1278,1481,96
"1375","maine,burlington99.5% in",56,145,5
"1376","maine,burnham",234,389,21
"1377","maine,buxton99.8% in",2416,2686,177
"1378","maine,byron",31,58,3
"1379","maine,calais",626,856,34
"1380","maine,cambridge98.8% in",72,176,4
"1381","maine,camden99.7% in",2931,832,74
"1382","maine,canaan",384,749,22
"1383","maine,canton",154,374,16
"1384","maine,cape elizabeth99.6% in",5349,1462,128
"1385","maine,caratunk",24,36,1
"1386","maine,caribou",1702,2262,60
"1387","maine,carmel",560,1183,39
"1388","maine,carrabassett valley98.7% in",348,164,15
"1389","maine,carroll plt.98.9% in",14,73,0
"1390","maine,carthage",88,214,10
"1391","maine,cary plt.",0,0,0
"1392","maine,casco",1036,1184,76
"1393","maine,castine",346,136,17
"1394","maine,castle hill98.7% in",97,130,3
"1395","maine,caswell98.5% in",59,73,2
"1396","maine,chapman",97,177,5
"1397","maine,charleston99.5% in",164,580,9
"1398","maine,charlotte98.6% in",68,145,3
"1399","maine,chelsea99.9% in",605,917,41
"1400","maine,cherryfield",212,417,16
"1401","maine,chester",61,261,4
"1402","maine,chesterville99% in",314,460,25
"1403","maine,china99.8% in",1107,1395,88
"1404","maine,clifton",187,324,21
"1405","maine,clinton99.7% in",641,1098,49
"1406","maine,columbia",67,156,5
"1407","maine,columbia falls",119,204,12
"1408","maine,cooper99% in",33,60,3
"1409","maine,coplin plt.99.1% in",59,44,7
"1410","maine,corinna",363,847,34
"1411","maine,corinth",390,1147,37
"1412","maine,cornish",429,478,37
"1413","maine,cornville99.2% in",283,471,22
"1414","maine,cranberry isles98.6% in",95,36,7
"1415","maine,crawford",18,45,3
"1416","maine,crystal",39,120,5
"1417","maine,cumberland99.3% in",4074,1800,128
"1418","maine,cushing99.7% in",424,520,16
"1419","maine,cutler",86,218,11
"1420","maine,cyr plt.98.2% in",26,30,0
"1421","maine,dallas plt.98.6% in",98,104,7
"1422","maine,damariscotta99.6% in",980,463,33
"1423","maine,danforth",98,314,9
"1424","maine,dayton",582,756,43
"1425","maine,deblois",5,35,0
"1426","maine,dedham",545,582,40
"1427","maine,deer isle99.8% in",806,496,21
"1428","maine,denmark",404,392,31
"1429","maine,dennistown plt.",5,19,0
"1430","maine,dennysville98.9% in",137,214,6
"1431","maine,detroit",151,276,9
"1432","maine,dexter99.6% in",617,1169,55
"1433","maine,dixfield",460,803,39
"1434","maine,dixmont99.7% in",265,446,20
"1435","maine,dover-foxcroft",914,1356,65
"1436","maine,dresden",542,580,37
"1437","maine,drew plt.",5,13,1
"1438","maine,durham99.5% in",1361,1333,96
"1439","maine,dyer brook",40,106,4
"1440","maine,eagle lake99.6% in",197,256,7
"1441","maine,eastbrook99.1% in",65,148,9
"1442","maine,east machias99.9% in",270,528,16
"1443","maine,east millinocket",370,567,16
"1444","maine,easton",241,467,7
"1445","maine,eastport99.6% in",474,339,22
"1446","maine,eddington",503,903,50
"1447","maine,edgecomb",510,348,31
"1448","maine,edinburg99.1% in",36,66,3
"1449","maine,eliot",2839,1788,101
"1450","maine,ellsworth99.7% in",2274,2359,191
"1451","maine,embden",181,374,10
"1452","maine,enfield",279,585,15
"1453","maine,etna",216,495,15
"1454","maine,eustis99.6% in",173,255,19
"1455","maine,exeter99% in",190,366,15
"1456","maine,fairfield",1428,1845,118
"1457","maine,falmouth99.7% in",6147,2672,212
"1458","maine,farmingdale99.5% in",903,768,67
"1459","maine,farmington",2225,1541,140
"1460","maine,fayette99.8% in",388,421,21
"1461","maine,fort fairfield",674,985,42
"1462","maine,fort kent",1069,1141,56
"1463","maine,frankfort99.1% in",220,441,19
"1464","maine,franklin",381,459,21
"1465","maine,freedom",201,236,32
"1466","maine,freeport99.9% in",4327,1675,182
"1467","maine,frenchboro93.9% in",12,19,0
"1468","maine,frenchville99.7% in",235,361,7
"1469","maine,friendship99.8% in",309,477,13
"1470","maine,fryeburg99.9% in",1060,813,64
"1471","maine,gardiner99.9% in",1694,1471,113
"1472","maine,garfield plt.",11,42,3
"1473","maine,garland",177,409,19
"1474","maine,georgetown",525,294,20
"1475","maine,gilead",48,66,9
"1476","maine,glenburn99.9% in",1108,1612,69
"1477","maine,glenwood plt.",0,1,0
"1478","maine,gorham99.7% in",6460,4275,380
"1479","maine,gouldsboro",477,612,27
"1480","maine,grand isle",107,119,6
"1481","maine,grand lake stream plt99% in",37,60,1
"1482","maine,gray",2653,2557,180
"1483","maine,great pond",18,25,0
"1484","maine,greenbush",193,499,25
"1485","maine,greene99.9% in",914,1663,63
"1486","maine,greenville",486,644,28
"1487","maine,greenwood",278,242,13
"1488","maine,guilford",248,466,14
"1489","maine,hallowell99.9% in",1277,445,58
"1490","maine,hamlin",48,61,0
"1491","maine,hammond97.9% in",11,34,1
"1492","maine,hampden99.8% in",2451,2265,162
"1493","maine,hancock",659,778,35
"1494","maine,hanover",101,92,5
"1495","maine,harmony",151,326,11
"1496","maine,harpswell99.6% in",2379,1423,82
"1497","maine,harrington99.8% in",168,363,7
"1498","maine,harrison99.8% in",741,796,37
"1499","maine,hartford",278,428,18
"1500","maine,hartland",266,610,23
"1501","maine,haynesville",12,50,1
"1502","maine,hebron",323,427,28
"1503","maine,hermon",1447,2427,91
"1504","maine,hersey",8,0,34
"1505","maine,highland plt.",42,71,3
"1506","maine,hiram",373,528,27
"1507","maine,hodgdon",185,613,14
"1508","maine,holden99.7% in",871,1200,54
"1509","maine,hollis99.5% in",1268,1535,92
"1510","maine,hope",653,443,21
"1511","maine,houlton",1046,1639,55
"1512","maine,howland",221,390,32
"1513","maine,hudson",120,484,7
"1514","maine,penobscot nation vot dst99.3% in",237,54,11
"1515","maine,indian township vtng dst",191,69,3
"1516","maine,industry99.4% in",232,253,19
"1517","maine,island falls",132,306,12
"1518","maine,isle au haut98.5% in",54,9,3
"1519","maine,islesboro",309,120,16
"1520","maine,jackman",144,387,4
"1521","maine,jackson99.7% in",134,191,13
"1522","maine,jay",1220,1375,70
"1523","maine,jefferson",679,951,61
"1524","maine,jonesboro99.4% in",124,212,10
"1525","maine,jonesport",243,447,22
"1526","maine,kenduskeag",242,514,14
"1527","maine,kennebunk99.8% in",5368,2682,186
"1528","maine,kennebunkport99.3% in",1777,926,43
"1529","maine,kingfield",407,444,37
"1530","maine,kingsbury plt.",0,0,0
"1531","maine,kittery",4418,1809,185
"1532","maine,knox99% in",147,315,13
"1533","maine,lagrange",101,248,9
"1534","maine,lake view plt.",40,71,3
"1535","maine,lakeville",29,38,2
"1536","maine,lamoine",616,576,19
"1537","maine,lebanon",1232,2178,119
"1538","maine,lee",140,350,18
"1539","maine,leeds",505,818,39
"1540","maine,levant",477,1149,39
"1541","maine,lewiston",9616,7232,540
"1542","maine,liberty",265,308,18
"1543","maine,limerick",813,948,79
"1544","maine,limestone",325,423,17
"1545","maine,limington99.9% in",856,1357,85
"1546","maine,lincoln",813,1723,60
"1547","maine,lincoln plt.",12,20,0
"1548","maine,lincolnville99.9% in",1059,551,44
"1549","maine,linneus",93,411,4
"1550","maine,lisbon99.8% in",2190,2853,200
"1551","maine,litchfield",850,1260,67
"1552","maine,littleton",141,381,9
"1553","maine,livermore",573,783,38
"1554","maine,livermore falls99.9% in",540,809,44
"1555","maine,long island",133,53,5
"1556","maine,lovell",399,353,14
"1557","maine,lowell99.6% in",56,193,6
"1558","maine,lubec99.7% in",457,406,20
"1559","maine,ludlow",78,169,8
"1560","maine,lyman",1315,1537,92
"1561","maine,machias99.3% in",395,461,37
"1562","maine,machiasport",216,337,13
"1563","maine,macwahoc plt.",12,30,1
"1564","maine,madawaska",1143,940,29
"1565","maine,madison",928,1411,43
"1566","maine,magalloway plt.",6,10,0
"1567","maine,manchester99.8% in",832,810,48
"1568","maine,mapleton",406,726,27
"1569","maine,mariaville",113,191,6
"1570","maine,marshfield",102,208,6
"1571","maine,mars hill",222,511,9
"1572","maine,masardis98.4% in",34,85,3
"1573","maine,matinicus isle plt.98% in",36,14,0
"1574","maine,mattawamkeag",120,257,11
"1575","maine,maxfield98.6% in",17,48,4
"1576","maine,mechanic falls",650,989,64
"1577","maine,meddybemps98.1% in",28,70,5
"1578","maine,medford",46,112,6
"1579","maine,medway",195,550,13
"1580","maine,mercer",183,283,15
"1581","maine,merrill",43,91,2
"1582","maine,mexico",556,676,39
"1583","maine,milbridge",326,391,14
"1584","maine,milford99.8% in",861,922,68
"1585","maine,millinocket",1049,1310,38
"1586","maine,milo",410,781,36
"1587","maine,minot99.6% in",676,1040,53
"1588","maine,monhegan plt.",51,7,4
"1589","maine,monmouth",1079,1397,102
"1590","maine,monroe99.8% in",308,266,28
"1591","maine,monson",173,289,13
"1592","maine,monticello",96,335,3
"1593","maine,montville99.4% in",346,266,38
"1594","maine,moose river",13,107,4
"1595","maine,moro plt.",2,27,0
"1596","maine,morrill",242,355,14
"1597","maine,moscow",74,199,6
"1598","maine,mount chase",39,81,2
"1599","maine,mount desert99.2% in",1066,381,43
"1600","maine,mount vernon",576,560,22
"1601","maine,naples",1039,1389,67
"1602","maine,nashville plt.",7,16,0
"1603","maine,newburgh99.4% in",366,599,29
"1604","maine,new canada",61,93,5
"1605","maine,newcastle99.3% in",923,403,33
"1606","maine,newfield",362,575,26
"1607","maine,new gloucester99.8% in",1720,1757,122
"1608","maine,new limerick",115,253,4
"1609","maine,newport",584,1118,39
"1610","maine,new portland99% in",185,266,30
"1611","maine,newry",163,119,7
"1612","maine,new sharon",391,528,37
"1613","maine,new sweden91.5% in",137,178,7
"1614","maine,new vineyard",154,293,16
"1615","maine,nobleboro99.6% in",729,559,22
"1616","maine,norridgewock",687,1128,59
"1617","maine,north berwick",1465,1557,89
"1618","maine,northfield",38,81,6
"1619","maine,north haven99.1% in",221,85,15
"1620","maine,northport",670,408,31
"1621","maine,north yarmouth99.3% in",1862,1018,80
"1622","maine,norway99.8% in",1400,1363,91
"1623","maine,oakfield",111,286,11
"1624","maine,oakland",1681,1853,94
"1625","maine,ogunquit",731,311,16
"1626","maine,old orchrd bch",3708,2368,139
"1627","maine,old town99.9% in",2365,1668,226
"1628","maine,orient",22,68,0
"1629","maine,orland99.8% in",691,693,40
"1630","maine,orono99.8% in",3728,1200,272
"1631","maine,orrington99.9% in",1089,1405,68
"1632","maine,osborn",10,31,3
"1633","maine,otis99.8% in",153,323,8
"1634","maine,otisfield",535,605,31
"1635","maine,owl's head98.9% in",584,454,27
"1636","maine,oxbow plt.",13,22,0
"1637","maine,oxford99.5% in",807,1456,62
"1638","maine,palermo99.4% in",381,537,21
"1639","maine,palmyra",325,800,30
"1640","maine,paris",1280,1494,81
"1641","maine,parkman",148,333,10
"1642","maine,parsonsfield",469,564,33
"1643","maine,passadumkeag",55,165,4
"1644","maine,patten",149,362,9
"1645","maine,pembroke",208,267,7
"1646","maine,penobscot99.4% in",512,306,27
"1647","maine,perham",62,146,6
"1648","maine,perry99.6% in",206,258,6
"1649","maine,peru99.6% in",322,561,26
"1650","maine,phillips",252,385,19
"1651","maine,phippsburg99.9% in",794,745,31
"1652","maine,pittsfield99.6% in",817,1156,69
"1653","maine,pittston99.7% in",691,1034,53
"1654","maine,pleasant point votng dst",196,35,4
"1655","maine,pleasant ridge plt.98.1% in",12,40,1
"1656","maine,plymouth99.9% in",230,505,10
"1657","maine,poland",1513,1906,100
"1658","maine,portage lake98.9% in",99,160,6
"1659","maine,porter",328,521,26
"1660","maine,portland99.9% in",33786,6486,1272
"1661","maine,pownal99.7% in",685,489,32
"1662","maine,presque isle",1859,2266,114
"1663","maine,princeton",118,340,10
"1664","maine,prospect99.1% in",170,242,11
"1665","maine,randolph99.3% in",467,533,29
"1666","maine,rangeley",294,449,15
"1667","maine,rangeley plt.99.3% in",57,86,2
"1668","maine,raymond",1589,1472,81
"1669","maine,readfield99.7% in",943,818,59
"1670","maine,reed plt.",23,58,0
"1671","maine,richmond99.3% in",934,1056,86
"1672","maine,ripley",100,195,4
"1673","maine,robbinston",128,221,4
"1674","maine,rockland",2493,1363,109
"1675","maine,rockport",1694,776,60
"1676","maine,rome",340,350,23
"1677","maine,roque bluffs",101,80,2
"1678","maine,roxbury",89,147,10
"1679","maine,rumford",1275,1502,86
"1680","maine,sabattus99.7% in",1034,1765,79
"1681","maine,saco",7794,4497,365
"1682","maine,saint agatha99.8% in",292,334,11
"1683","maine,st. albans",321,833,32
"1684","maine,st. francis",121,121,3
"1685","maine,st. george99.2% in",1108,663,43
"1686","maine,st. john plt.",63,104,4
"1687","maine,sandy river plt.99% in",65,36,1
"1688","maine,sanford",5392,5182,357
"1689","maine,sangerville",255,479,19
"1690","maine,scarborough99.9% in",9487,5217,353
"1691","maine,searsmont",430,481,26
"1692","maine,searsport",843,721,44
"1693","maine,sebago",529,719,29
"1694","maine,sebec",117,305,6
"1695","maine,seboeis plt.",22,19,0
"1696","maine,sedgwick",511,321,11
"1697","maine,shapleigh",704,1034,51
"1698","maine,sherman",157,497,11
"1699","maine,shirley",34,96,3
"1700","maine,sidney",1184,1688,82
"1701","maine,skowhegan",1876,2215,106
"1702","maine,smithfield98.6% in",269,342,16
"1703","maine,smyrna",46,111,0
"1704","maine,solon99.7% in",243,365,15
"1705","maine,somerville99.7% in",131,213,13
"1706","maine,sorrento",89,94,6
"1707","maine,south berwick",2748,1734,152
"1708","maine,south bristol99.6% in",429,261,26
"1709","maine,southport99.2% in",306,173,12
"1710","maine,south portland",12075,3783,428
"1711","maine,south thomaston",574,403,20
"1712","maine,southwest harbor",728,381,28
"1713","maine,springfield",26,135,0
"1714","maine,stacyville",38,169,2
"1715","maine,standish99.8% in",2820,3078,162
"1716","maine,starks",137,237,7
"1717","maine,stetson99.7% in",217,524,24
"1718","maine,steuben",245,409,14
"1719","maine,stockholm98.8% in",70,86,4
"1720","maine,stockton springs",529,508,28
"1721","maine,stoneham",83,102,0
"1722","maine,stonington99.8% in",409,220,11
"1723","maine,stow99.6% in",126,121,6
"1724","maine,strong",266,526,24
"1725","maine,sullivan",354,348,22
"1726","maine,sumner99.6% in",206,324,23
"1727","maine,surry99.3% in",596,464,31
"1728","maine,swan's island",132,129,5
"1729","maine,swanville99.9% in",339,454,33
"1730","maine,sweden",165,108,10
"1731","maine,talmadge",13,18,1
"1732","maine,temple",172,155,9
"1733","maine,the forks plt.97.4% in",18,18,2
"1734","maine,thomaston",960,664,44
"1735","maine,thorndike",228,211,7
"1736","maine,topsfield",24,100,0
"1737","maine,topsham",3944,2390,218
"1738","maine,tremont",590,422,31
"1739","maine,trenton99.8% in",509,451,27
"1740","maine,troy",233,340,20
"1741","maine,turner",1288,2052,88
"1742","maine,union",726,786,49
"1743","maine,unity",444,455,51
"1744","maine,upton",16,47,1
"1745","maine,van buren",471,415,12
"1746","maine,vanceboro",28,65,0
"1747","maine,vassalboro",1075,1394,84
"1748","maine,veazie",646,525,52
"1749","maine,verona",158,182,10
"1750","maine,vienna",186,208,11
"1751","maine,vinalhaven",531,287,19
"1752","maine,wade97.9% in",53,79,10
"1753","maine,waite",18,33,0
"1754","maine,waldo85.2% in",227,261,14
"1755","maine,waldoboro",1294,1568,72
"1756","maine,wales",275,616,24
"1757","maine,wallagrass99.7% in",153,134,4
"1758","maine,waltham",68,159,3
"1759","maine,warren",919,1259,66
"1760","maine,washburn",278,518,24
"1761","maine,washington",415,540,33
"1762","maine,waterboro99.9% in",1861,2471,146
"1763","maine,waterford",452,557,29
"1764","maine,waterville",5019,2627,259
"1765","maine,wayne99.7% in",506,343,20
"1766","maine,webster plt.",9,33,0
"1767","maine,weld98.7% in",149,144,6
"1768","maine,wellington",50,67,2
"1769","maine,wells",4465,3333,177
"1770","maine,wesley97.4% in",27,45,4
"1771","maine,west bath99.5% in",737,629,26
"1772","maine,westbrook",7274,3591,322
"1773","maine,westfield99.6% in",92,174,1
"1774","maine,west forks plt.98.1% in",21,30,2
"1775","maine,west gardiner",1000,1317,63
"1776","maine,westmanland",30,24,1
"1777","maine,weston",55,125,2
"1778","maine,west paris",372,552,33
"1779","maine,westport",303,231,17
"1780","maine,whitefield99.9% in",688,753,38
"1781","maine,whiting98.9% in",147,205,9
"1782","maine,whitneyville",55,70,5
"1783","maine,willimantic",20,70,0
"1784","maine,wilton",978,1117,82
"1785","maine,windham",5782,5280,380
"1786","maine,windsor99.8% in",477,899,57
"1787","maine,winn",60,145,2
"1788","maine,winslow",2184,2360,135
"1789","maine,winter harbor",145,179,5
"1790","maine,winterport",1034,1245,56
"1791","maine,winterville plt.",49,72,4
"1792","maine,winthrop99.6% in",1963,1649,125
"1793","maine,wiscasset99.6% in",1114,1112,87
"1794","maine,woodland99.7% in",239,409,14
"1795","maine,woodstock",368,534,43
"1796","maine,woodville",19,116,1
"1797","maine,woolwich99.9% in",1035,1062,53
"1798","maine,yarmouth98.6% in",4785,1439,134
"1799","maine,york99.8% in",6117,3352,189
"1800","maine,frye island",38,19,0
"1801","maine,chebeague island",255,66,9
"1802","maine,aroostook cty townships",141,150,1
"1803","maine,franklin cty townships",31,17,4
"1804","maine,hancock cty townships",6,7,0
"1805","maine,oxford cty townships",152,159,22
"1806","maine,penobscot cty townships",150,348,8
"1807","maine,piscataquis cty townshps",26,61,0
"1808","maine,somerset cty townships",63,173,7
"1809","maine,washington cty townships",9,21,0
"1810","maryland,allegany",9158,20886,597
"1811","maryland,anne arundel",172823,127821,8973
"1812","maryland,baltimore",258409,146202,10321
"1813","maryland,baltimore city",207260,25374,4827
"1814","maryland,calvert",22587,25346,1179
"1815","maryland,caroline",5095,10283,416
"1816","maryland,carroll",36456,60218,3653
"1817","maryland,cecil",16809,29439,1214
"1818","maryland,charles",62171,25579,1748
"1819","maryland,dorchester",6857,8764,356
"1820","maryland,frederick",77675,63682,4258
"1821","maryland,garrett",3281,12002,328
"1822","maryland,harford",63095,80930,4161
"1823","maryland,howard",129433,48390,5239
"1824","maryland,kent",5329,5195,270
"1825","maryland,montgomery",419569,101222,12952
"1826","maryland,prince george's",379208,37090,8557
"1827","maryland,queen anne's",10709,18741,840
"1828","maryland,st. mary's",23138,30826,1701
